fecha,medio_pago,id_transaccion,cliente_email,modalidad,monto
2020-02-01,tarjeta_debito,d130951d387d4f0385aba4b2cb5c99d5,nicolas.molina9@mail.com,mensual,3000.0
2020-02-17,transferencia,0e6b471a242340c0bd9ed85deb3bbf5b,valentina.castro@mail.com,mensual,3000.0
2020-02-22,efectivo,5d3907adf9f548fd932976f41988ecf9,micaela.mendez@mail.com,mensual,3000.0
2020-02-27,transferencia,5b8d00a252134ad88a83252cfe4fee80,franco.benitez@mail.com,mensual,3000.0
2020-02-28,tarjeta_credito,60a51ff4f1654326b04410df79845c3c,lucas.navarro@mail.com,mensual,3000.0
2020-03-03,efectivo,998b51e494934348bbb7a3ce384ac604,nicolas.molina44@mail.com,mensual,3000.0
2020-03-09,efectivo,25c05acbc4404b47b6b31e0c1fa16d1b,gabriela.silva@mail.com,mensual,3000.0
2020-03-27,mercadopago,ec417714acfe4f069e2b964981de26cb,micaela.mendez72@mail.com,mensual,3000.0
2020-03-29,tarjeta_debito,a3b5f25a0fd74826a9ff3f4925e5a01f,franco.benitez@mail.com,mensual,3000.0
2020-03-30,efectivo,c61503d78782457eb6c1750819c0b92b,lucas.navarro@mail.com,mensual,3000.0
2020-04-07,tarjeta_debito,0a24ff2260f849c583f25a6eacdf3554,gabriela.silva58@mail.com,mensual,3000.0
2020-04-20,tarjeta_debito,882096b4650f4ba98c26fc86f03e1023,gabriela.gomez@mail.com,mensual,3000.0
2020-04-22,efectivo,74f407a29a524fdf9678d079bb6aa724,florencia.arias@mail.com,mensual,3000.0
2020-05-06,mercadopago,056e2ee917b74960ab22eb67074ed162,maria.silva@mail.com,mensual,3000.0
2020-05-07,mercadopago,542077f37adf477694583ab6cfdb837c,gabriela.gomez66@mail.com,mensual,3000.0
2020-06-07,efectivo,97b25fff212f47ceab4925b0a050c8fb,joaquin.mendez@mail.com,mensual,3000.0
2020-06-09,transferencia,0e31fa0306f54c50b803e6cd4a080e9c,maria.silva32@mail.com,mensual,3000.0
2020-06-22,transferencia,f383f6c2f5204d8898561356c9223eb4,juan.gomez@mail.com,mensual,3000.0
2020-07-02,tarjeta_credito,7c8427c082924168bef2299e1fde8302,juan.munoz2@mail.com,mensual,3000.0
2020-07-03,mercadopago,f3c91469e8f1433aa95b61593093b8ac,pablo.ponce@mail.com,mensual,3000.0
2020-07-04,transferencia,0a76a85293a0481987effd84a7ab0154,micaela.herrera@mail.com,mensual,3000.0
2020-07-05,tarjeta_debito,13dbf961a11c453bbb700f1d6f17fa2b,joaquin.mendez73@mail.com,mensual,3000.0
2020-07-22,mercadopago,ff2a91ed78144c3492d90db458e3817b,guido.ortiz@mail.com,mensual,3000.0
2020-07-29,efectivo,c103f51d224244c5b261b392de49302d,micaela.herrera65@mail.com,mensual,3000.0
2020-09-06,efectivo,6c7c467170a3470ca1539302287a5d2b,tomas.ortiz@mail.com,mensual,3000.0
2020-09-09,tarjeta_debito,c017229729674a76b5be2bfd9a5e07de,lucia.cabrera@mail.com,mensual,3000.0
2020-10-06,efectivo,fd3aae4fe6e047d58011acfdd7db5e9e,lucia.cabrera@mail.com,mensual,3000.0
2020-10-11,tarjeta_credito,1eb95da12f2243fb8533bc8ecf8b7ea1,tomas.ortiz9@mail.com,mensual,3000.0
2020-10-13,mercadopago,20ba892f261f49a5abaf46ab74afe832,juan.castro@mail.com,mensual,3000.0
2020-10-21,transferencia,55eca022d0634da88899f1e47340184b,leandro.moreno3@mail.com,mensual,3000.0
2020-12-01,tarjeta_credito,bd79c1e0be4b4309a089f5547f8cf962,paula.sosa@mail.com,mensual,3000.0
2020-12-14,efectivo,751ac6c4992942788376a2a8ae84a0ba,leandro.moreno@mail.com,mensual,3000.0
2020-12-24,efectivo,5cc719e9760a4e07ab9a7432b095867b,camila.luna@mail.com,mensual,3000.0
2020-12-29,mercadopago,391d499ec3584479a5fc8d68a0a7d305,paula.sosa@mail.com,mensual,3000.0
2021-01-12,tarjeta_credito,70cb0f40b41f4b679ffc8e803c73292f,maria.vazquez83@mail.com,anual,30000.0
2021-01-19,tarjeta_credito,4d77022595594ceda3edef2dcaf56bb8,pablo.molina@mail.com,mensual,3000.0
2021-01-21,tarjeta_credito,76f90f8100804cb3a3f103092fdc15a5,micaela.mendez@mail.com,mensual,3000.0
2021-01-25,mercadopago,0c7af8482470405d86bb286620105230,camila.luna43@mail.com,mensual,3000.0
2021-02-08,efectivo,728fee4b9b0f44c9ad23bea3ba18cbe6,valentina.castro@mail.com,anual,30000.0
2021-02-14,tarjeta_debito,bfc9d6fdcf9c4df39bf4224d2340b502,pablo.rojas76@mail.com,mensual,3000.0
2021-03-10,tarjeta_debito,76fde0c2377c490990a5e5f9b2b215d2,franco.benitez@mail.com,anual,30000.0
2021-03-13,tarjeta_credito,0c28c10a4dce40bc95034ccc91b9564e,pablo.rojas@mail.com,mensual,3000.0
2021-03-18,mercadopago,69956dcf5fd64d5c9f5acc38ee34d3cd,micaela.mendez45@mail.com,anual,30000.0
2021-03-25,efectivo,e77add8cc5224e3c82a3aebd403e5988,gabriela.silva@mail.com,anual,30000.0
